,Unnamed: 0,subject,predicate,object,certainty,page
53602,5509,db:Brighton_%26_Hove_Albion_F.C.,dbo:ground,db:Falmer,0.87,List of European stadiums by capacity
53635,5542,db:Karlsruher_SC,dbo:ground,db:Karlsruhe,0.87,List of European stadiums by capacity
48622,529,db:Tele2_Arena,dbo:location,db:Stockholm,0.87,List of European stadiums by capacity
23933,87,db:The_Lion_King,dbo:director,db:Rob_Minkoff,0.95,List of 1994 box office number-one films in the United States
53568,5475,db:Wis%C5%82a_Krak%C3%B3w,dbo:ground,db:Krak%C3%B3w,0.87,List of European stadiums by capacity
53435,5342,db:Galatasaray_S.K._(football_team),dbo:ground,Istanbul,0.87,List of European stadiums by capacity
53681,5588,db:SC_Heerenveen,dbo:ground,db:Heerenveen,0.87,List of European stadiums by capacity
26451,31,db:Al_Horford,dbo:draftTeam,db:Washington_Wizards,0.97,List of 2007–08 NBA season transactions
48362,269,db:Stadium_of_Light,dbo:location,db:City_of_Sunderland,0.87,List of European stadiums by capacity
53375,5282,db:Welsh_Rugby_Union,dbo:ground,db:Cardiff,0.87,List of European stadiums by capacity
53611,5518,db:U_Cluj,dbo:ground,db:Cluj_Napoca,0.87,List of European stadiums by capacity
53429,5336,db:Tipperary_GAA,dbo:ground,db:Thurles,0.87,List of European stadiums by capacity
53513,5420,db:RCD_Espanyol,dbo:ground,db:Cornell%C3%A0_de_Llobregat,0.87,List of European stadiums by capacity
53371,5278,db:Manchester_United_F.C.,dbo:ground,db:Manchester,0.87,List of European stadiums by capacity
53452,5359,db:Rangers_F.C.,dbo:ground,Glasgow,0.87,List of European stadiums by capacity
43067,633,db:St._Patrick%27s_Day_(30_Rock),dbprop:episode,12,0.86,List of 30 Rock episodes
48329,236,db:%C5%9E%C3%BCkr%C3%BC_Saraco%C4%9Flu_Stadium,dbo:location,Istanbul,0.87,List of European stadiums by capacity
53483,5390,db:1896_Summer_Olympics,dbo:ground,Athens,0.87,List of European stadiums by capacity
48495,402,db:Stadio_Renato_Dall%27Ara,dbo:location,db:Bologna,0.87,List of European stadiums by capacity
53358,5265,db:Gaelic_Athletic_Association,dbo:ground,db:Dublin,0.87,List of European stadiums by capacity
53487,5394,db:Cork_GAA,dbo:ground,db:Cork_City,0.87,List of European stadiums by capacity
53633,5540,db:FC_Kryvbas_Kryvyi_Rih,dbo:ground,db:Kryvyi_Rih,0.87,List of European stadiums by capacity
53509,5416,db:Juventus_F.C.,dbo:ground,db:Turin,0.87,List of European stadiums by capacity
53607,5514,db:Nottingham_Forest_F.C.,dbo:ground,db:Nottingham,0.87,List of European stadiums by capacity
24642,391,"db:You_Need_Me,_I_Don%27t_Need_You",dbo:musicalBand,db:Ed_Sheeran,0.83,List of 1Xtra Chart number-one singles of the 2010s
