,Unnamed: 0,subject,predicate,object,certainty,page
42920,486,db:Argus_(30_Rock),dbo:writer,"Josh Siegal, Dylan Morgan & Paula Pell",0.36,List of 30 Rock episodes
24614,363,db:Don%27t_Wanna_Go_Home,dbprop:writer,db:Jason_Der%C3%BClo,0.27,List of 1Xtra Chart number-one singles of the 2010s
54318,6225,db:Bloomfield_Stadium,dbo:operator,db:Hapoel_Tel_Aviv_F.C.,0.25,List of European stadiums by capacity
17405,526,db:I_Wonder_What_She%27s_Doing_Tonight_(1963_song),dbo:musicalBand,db:Barry_%26_the_Tamerlanes,0.28,List of 1960s one-hit wonders in the United States
42879,445,db:Secret_Santa_(30_Rock),dbprop:director,Beth McCarthy Miller,0.32,List of 30 Rock episodes
16588,156,db:Italy_at_the_1956_Winter_Olympics,dbprop:rank,0,0.21,List of 1956 Winter Olympics medal winners
42365,8,db:Daffy%27s_Rhapsody,dbprop:country,United States,0.3,List of 3D films
25665,392,db:Move_Bitch,dbprop:artist,db:I-20_(rapper),0.35,List of 2000s one-hit wonders in the United States
24553,302,db:What%27s_My_Name%3F_(Rihanna_song),dbprop:artist,db:Rihanna,0.37,List of 1Xtra Chart number-one singles of the 2010s
16220,491,db:Norway_at_the_1952_Winter_Olympics,dbprop:bronze,0,0.22,List of 1952 Winter Olympics medal winners
26607,187,db:Glen_Davis_(basketball),dbprop:team,db:Seattle_SuperSonics,0.33,List of 2007–08 NBA season transactions
50348,2255,db:The_Oval_(Belfast),dbprop:owner,db:Glentoran_F.C.,0.33,List of European stadiums by capacity
49584,1491,db:T%C3%BCrk_Telekom_Arena,dbprop:owner,db:Galatasaray_S.K._(football_team),0.33,List of European stadiums by capacity
26640,220,db:Brad_Newley,dbprop:team,db:Houston_Rockets,0.33,List of 2007–08 NBA season transactions
49970,1877,db:Ricoh_Arena,dbo:owner,db:Coventry_City,0.33,List of European stadiums by capacity
44125,794,db:Road_Rash#Road_Rash_.283DO.29,dbo:publisher,db:Electronic_Arts,0.24,List of 3DO Interactive Multiplayer games
50125,2032,db:Est%C3%A1dio_Algarve,dbprop:owner,db:S.C._Farense,0.33,List of European stadiums by capacity
54299,6206,db:Groupama_Arena,dbprop:owner,db:Ferencv%C3%A1rosi_TC,0.25,List of European stadiums by capacity
43222,788,db:Game_Over_(30_Rock),dbprop:writer,db:Sam_Means,0.38,List of 30 Rock episodes
43440,109,db:The_Daedalus_Encounter,dbo:developer,Mechadeus,0.21,List of 3DO Interactive Multiplayer games
25641,368,db:Heaven_(DJ_Sammy_song),dbprop:artist,db:DJ_Sammy,0.35,List of 2000s one-hit wonders in the United States
49753,1660,db:Stade_F%C3%A9lix_Bollaert,dbprop:owner,db:RC_Lens,0.33,List of European stadiums by capacity
43014,580,db:Double-Edged_Sword_(30_Rock),dbprop:director,Don Scardino,0.36,List of 30 Rock episodes
49612,1519,db:Commerzbank-Arena,dbprop:owner,db:Eintracht_Frankfurt,0.33,List of European stadiums by capacity
51055,2962,db:Seville,dbprop:subdivisionName,db:Spain,0.33,List of European stadiums by capacity
44047,716,db:Myst,dbo:publisher,db:Panasonic,0.24,List of 3DO Interactive Multiplayer games
49563,1470,db:Olympic_Stadium_(London),dbo:owner,db:2012_Summer_Olympics,0.33,List of European stadiums by capacity
24513,262,db:Written_in_the_Stars_(Tinie_Tempah_song),dbprop:writer,db:Tinie_Tempah,0.27,List of 1Xtra Chart number-one singles of the 2010s
40270,85,db:Captain_America:_The_Winter_Soldier,dbo:distributor,Walt Disney Pictures / Marvel Studios,0.3,List of 2014 box office number-one films in the United States
42898,464,db:Emanuelle_Goes_to_Dinosaur_Land,dbprop:director,Beth McCarthy Miller,0.32,List of 30 Rock episodes
50074,1981,db:Roazhon_Park,dbo:owner,db:Stade_Rennais_FC,0.33,List of European stadiums by capacity
40374,89,db:2014_Omega_Pharma-Quick_Step_season,dbprop:bicycles,Specialized,0.39,List of 2014 UCI ProTeams and riders
43605,274,db:Kyotaro_Nishimura,dbo:developer,db:TOSE,0.21,List of 3DO Interactive Multiplayer games
42871,437,db:Stone_Mountain_(30_Rock),dbprop:director,Don Scardino,0.32,List of 30 Rock episodes
51328,3235,db:Oviedo,dbprop:subdivisionName,db:Spain,0.33,List of European stadiums by capacity
38711,6072,db:Disc-Overy,dbprop:award,2× Platinum,0.21,List of UK Albums Chart number ones of the 2010s
38800,6161,db:Symphonica_(George_Michael_album),dbprop:award,Gold,0.21,List of UK Albums Chart number ones of the 2010s
42900,466,db:I_Do_Do,dbprop:director,Don Scardino,0.32,List of 30 Rock episodes
51264,3171,db:Padova,dbprop:subdivisionName,db:Italy,0.33,List of European stadiums by capacity
49875,1782,db:Riverside_Stadium,dbprop:owner,db:Middlesbrough_F.C.,0.33,List of European stadiums by capacity
49807,1714,db:Telia_Parken,dbo:owner,db:FC_K%C3%B8benhavn,0.33,List of European stadiums by capacity
50242,2149,db:Toumba_Stadium,dbo:owner,db:PAOK_F.C.,0.33,List of European stadiums by capacity
38736,6097,db:Mylo_Xyloto,dbprop:award,4× Platinum,0.21,List of UK Albums Chart number ones of the 2010s
26468,48,db:Javaris_Crittenton,dbo:team,db:Los_Angeles_Lakers,0.23,List of 2007–08 NBA season transactions
24601,350,db:Give_Me_Everything_(Pitbull_song),dbprop:artist,db:Pitbull_(rapper),0.37,List of 1Xtra Chart number-one singles of the 2010s
12283,29,db:5*,dbprop:country,db:United_Kingdom,0.36,10 Things I Hate About You (TV series)
26995,11,db:Equipe_N%C3%BCrnberger_Versicherung,dbprop:code,NUR,0.28,List of 2009 UCI Women's Teams and riders
17089,210,"db:Who_Put_the_Bomp_(in_the_Bomp,_Bomp,_Bomp)",dbprop:artist,db:Barry_Mann,0.22,List of 1960s one-hit wonders in the United States
38721,6082,db:21_(Adele_album),dbprop:award,16× Platinum,0.21,List of UK Albums Chart number ones of the 2010s
17381,502,db:Sally_Go_%27Round_the_Roses,dbo:musicalArtist,db:The_Jaynetts,0.28,List of 1960s one-hit wonders in the United States
26819,80,db:The_Chronicles_of_Narnia:_Prince_Caspian_(film),dbo:distributor,Disney,0.28,List of 2008 box office number-one films in Canada
50088,1995,db:Sammy_Ofer_Stadium,dbprop:owner,db:Maccabi_Haifa_F.C.,0.33,List of European stadiums by capacity
38797,6158,"db:So_Long,_See_You_Tomorrow_(album)",dbprop:award,Silver,0.21,List of UK Albums Chart number ones of the 2010s
50354,2261,db:Selhurst_Park,dbo:owner,db:Crystal_Palace_F.C.,0.33,List of European stadiums by capacity
17537,658,db:Land_of_a_Thousand_Dances,dbo:musicalArtist,db:Cannibal_%26_the_Headhunters,0.31,List of 1960s one-hit wonders in the United States
42877,443,db:Dealbreakers_Talk_Show,dbprop:director,Don Scardino,0.32,List of 30 Rock episodes
38757,6118,db:Good_Morning_to_the_Night,dbprop:award,,0.21,List of UK Albums Chart number ones of the 2010s
26400,12,db:X-Men:_The_Last_Stand,dbprop:distributor,Fox,0.4,2006 in film
50442,2349,db:Stadiumi_Olimpik_Adem_Jashari,dbo:owner,db:KF_Trep%C3%A7a,0.33,List of European stadiums by capacity
51181,3088,db:Salerno,dbprop:subdivisionName,db:Italy,0.33,List of European stadiums by capacity
51472,3379,db:Valencia,dbprop:subdivisionName,db:Spain,0.33,List of European stadiums by capacity
51146,3053,db:Turin,dbprop:subdivisionName,db:Italy,0.33,List of European stadiums by capacity
43221,787,db:My_Whole_Life_Is_Thunder,dbprop:writer,Jack Burditt & Colleen McGuinness,0.38,List of 30 Rock episodes
19251,17,"db:Yes,_I%27m_Ready#Teri_DeSario",dbo:musicalArtist,db:Teri_DeSario,0.29,List of 1980s one-hit wonders in the United States
51338,3245,db:Coimbra,dbprop:subdivisionName,db:Portugal,0.33,List of European stadiums by capacity
26638,218,db:Demetris_Nichols,dbprop:team,db:Portland_Trail_Blazers,0.33,List of 2007–08 NBA season transactions
54294,6201,db:Netanya_Stadium,dbo:operator,db:Maccabi_Netanya_F.C.,0.25,List of European stadiums by capacity
43914,583,db:Dragon%27s_Lair,dbo:publisher,ReadySoft,0.24,List of 3DO Interactive Multiplayer games
